time=2024-10-23,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-24,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-25,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-26,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-27,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-28,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-29,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-30,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-10-31,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-01,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-02,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-03,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-04,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-05,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-06,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-07,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-08,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-09,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-10,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-11,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-12,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-13,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-14,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
time=2024-11-14,open=1.81080000000000000000,high=1.81080000000000000000,low=1.81080000000000000000,close=1.81080000000000000000,volume=0
